id_photo;name;Title ;Author ;Source 
1;2-й Донской проезд -1.webp;2-й Донской проезд. Двор коммуны им. Орджоникидзе;Б.Игнатович ;https://pastvu.com/p/30470
2;улица Крупской-1.jpg;памятник Ленину и Крупской;Змеев А.В.;фото
3;Ботанический сад МГУ-3.webp;"Филиал Ботанического сада (Ботсада) МГУ - ""Аптекарский огород"". 1 ""А"" 112 шк. у памятника Ленину.";Заведующий Ботсадом В.К.Мукосеев;https://pastvu.com/p/290707
4;Ботанический сад МГУ-1.webp;Ботанический сад ;неизвестен;https://pastvu.com/p/17018
5;проспект 60-летия Октября 25-1.webp;Памятник В. И. Ленину в 9-м квартале Новых Черёмушек ;неизвестен;https://pastvu.com/p/2214006
6;проспект 60-летия Октября 25-2.webp;Памятник В.И. Ленину ;Станислав Судилин ;https://yandex.ru/maps/-/CPdTaH5S
7;проспект 60-летия Октября 25-3.webp;Памятник В.И. Ленину ;Сергей Ханжин ;https://yandex.ru/maps/-/CPdTiY0t
8;шоссе Энтузиастов 28-1.webp;В.И. Ленин;SERP MOLOT ;https://yandex.ru/maps/-/CPdhj-4q
9;шоссе Энтузиастов 28-2.webp;В.И. Ленин;Владимир;https://yandex.ru/maps/-/CPdhrIIB
10;посёлок Ленино-1.webp;Ленинский райисполком (Царицыно) ;коллекция Д.Кудинова ;https://pastvu.com/p/81498
11;посёлок Ленино-2.webp;Исполком Ленинского районного совета в здании 1-го Кавалерского корпуса ;Архив Р.А. Родионовой ;https://pastvu.com/p/1493114
12;посёлок Северный-малый сквер-1.webp;Посёлок Северный, малый сквер ;Калинкин В.С. ;https://pastvu.com/p/111573
13;посёлок Северный-1.webp;Посёлок Северный ;Калинкин В.С. ;https://pastvu.com/p/111567
14;Юных Ленинцев 52-1.webp;В.И. Ленин;um.mos.ru ;https://yandex.ru/maps/-/CPhmQKNl
15;парк Кузьминки-Люблино-институт-2.webp;Памятник В. И. Ленину ;https://lenin.tilda.ws/chuzhoy-postament/;https://pastvu.com/p/2156596
16;парк Кузьминки-Люблино-институт-1.jpg;парк Кузьминки ;Дмитрий Кудинов ;http://leninstatues.ru/photo/5773/park-kuzminki
17;3-я Радиальная.jpg;улица 3-ья Радиальная;Дмитрий Кудинов ;http://leninstatues.ru/photo/5809/ulica-3-ya-radialnaya
